course,lo,level,justification,complexity,cognitive_category,department
Design for Testability,CO-3: Identify the design for testability methods used in combinational & sequential CMOS circuits,Understand,"The verb 'identify' suggests recognizing and understanding different methods, which falls under the Understand level.",2,Lower-Order Thinking,Design & Innovation
Design for Testability,"CO-4: Tackle the problems associated with testing of semiconductor circuits at an early design stage, thus significantly reducing testing costs",Apply,"The verb 'tackle' implies using knowledge and skills to address problems, aligning with the Apply level.",3,Higher-Order Thinking,Design & Innovation
Design for Testability,CO-5: Apply Built-in Self-Test (BIST) techniques for improving testability,Apply,"The verb 'apply' indicates using BIST techniques in a practical context (improving testability), which aligns with the Apply level.",3,Higher-Order Thinking,Design & Innovation
Design Thinking 101 - Research to Define,"CO-1: Understand the Human-Centered (HCD) led Empathy (end user advocacy) &Creative Thinking based approach for Problem solving and designing/delivering new products, solutions and services",Understand,"The verb 'Understand' directly indicates comprehension of a concept or approach, fitting the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Design & Innovation
Design Thinking 101 - Research to Define,CO-2: Demonstrate good understanding of various methods and tools used to understand the user's socio-cultural-economic context during the research/empathies and define stages of the Design Thinking Process,Understand,"The verb 'Demonstrate understanding' implies comprehension and the ability to explain concepts, aligning with the 'Understand' level.",2,Lower-Order Thinking,Design & Innovation
Design Thinking 101 - Research to Define,"CO-3: Apply hands-on skills, methods and tools for user research including User Research, Empathy, Contextual Inquiries, Shadowing, User Personas, Use and User Journey mapping, etc",Apply,"The verb 'Apply' indicates the use of skills and knowledge in a practical context, directly corresponding to the 'Apply' level.",3,Higher-Order Thinking,Design & Innovation
Design Thinking 101 - Research to Define,"CO-4: Create, document and present the various deliverables and communications including Stakeholder Mapping, User Personas, Use Case Scenarios, User Journey Maps, Empathy Maps etc. related to the Design Thinking process and deliverables",Create,"The verb 'Create' signifies generating new work or products, which is the defining characteristic of the 'Create' level.",6,Higher-Order Thinking,Design & Innovation
Design Thinking 101 - Research to Define,CO-5: Demonstrate the ability to collaborate and co-create the design solution and integrate the DT process within the overall product development and management life cycle,Apply,"The verb 'Demonstrate' and 'integrate' suggest using skills and knowledge in a practical context, aligning with the 'Apply' level.",3,Higher-Order Thinking,Design & Innovation
Design Thinking - Idea to Evaluate/Implement,"CO-1: Understand the Human-Centered (HCD led Empathy (end user advocacy) &Creative Thinking based approach for Problem solving and designing/delivering new products, solutions and services",Understand,The verb 'Understand' directly indicates comprehension and grasping the concepts of the HCD approach.,2,Lower-Order Thinking,Design & Innovation
Design Thinking - Idea to Evaluate/Implement,CO-2: Demonstrate good understanding of various methods and tools used to understand the user's socio-cultural-economic context during the research/empathies and define stages of the Design Thinking Process,Understand,The verb 'Demonstrate understanding' implies a level of comprehension and the ability to explain the methods and stages.,2,Lower-Order Thinking,Design & Innovation
Design Thinking - Idea to Evaluate/Implement,"CO-3: Apply hands-on skills, methods and tools for user research including User Research, Empathy, Contextual Inquiries, Shadowing, User Personas, Use and User Journey mapping, etc",Apply,"The verb 'Apply' indicates the use of skills and tools in a practical context, which is characteristic of the Apply level.",3,Higher-Order Thinking,Design & Innovation
Design Thinking - Idea to Evaluate/Implement,"CO-4: Create, document and present the various deliverables and communications including Stakeholder Mapping, User Personas, Use Case Scenarios, User Journey Maps, Empathy Maps etc. related to the Design Thinking process and deliverables",Create,"The verb 'Create' signifies generating new deliverables, which aligns with the highest level of Bloom's Taxonomy.",6,Higher-Order Thinking,Design & Innovation
Design Thinking - Idea to Evaluate/Implement,CO-5: Demonstrate the ability to collaborate and co-create the design solution and integrate the DT process within the overall product development and management life cycle,Apply,"The verb 'Demonstrate' and 'integrate' suggest using learned skills and knowledge in a practical situation, fitting the Apply level.",3,Higher-Order Thinking,Design & Innovation
Digital Image Processing,CO-1: Give examples of how images are stored and represented in digital machines,Remember,The verb 'Give examples' indicates recalling facts and basic concepts related to image storage and representation.,1,Lower-Order Thinking,Computer Science & Engineering
Digital Image Processing,CO-2: Apply basic techniques for improving subjective perception of images,Apply,The verb 'Apply' indicates using learned techniques in a practical context to improve image perception.,3,Higher-Order Thinking,Computer Science & Engineering
Digital Image Processing,CO-3: Apply basic techniques for filtering images in spatial and frequency domain,Apply,"The verb 'Apply' indicates using learned techniques to filter images, a practical application of knowledge.",3,Higher-Order Thinking,Computer Science & Engineering
Digital Image Processing,CO-4: Apply basic techniques for morphological and geometric transformations of images,Apply,"The verb 'Apply' indicates using learned techniques to perform image transformations, a practical application.",3,Higher-Order Thinking,Computer Science & Engineering
Digital Image Processing,CO-5: Apply techniques for color image processing,Apply,The verb 'Apply' indicates using techniques in the context of color image processing.,3,Higher-Order Thinking,Computer Science & Engineering
Digital Image Processing,"CO-6: Apply basic techniques for high-level image processing (Image Segmentation, Image Restoration, Image Compression)",Apply,The verb 'Apply' indicates using techniques in the context of high-level image processing.,3,Higher-Order Thinking,Computer Science & Engineering
Digital Systems and Microcontrollers (DSM),"CO-1: Solve problems pertaining to the application of Boolean algebra, number systems, simplification of logic expressions using Karnaugh maps",Apply,"The verb 'Solve' indicates using learned knowledge (Boolean algebra, number systems, Karnaugh maps) to address problems, which is characteristic of the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Digital Systems and Microcontrollers (DSM),CO-2: Develop a simplified combinational circuit as a solution for a given problem,Apply,"The verb 'Develop' suggests using knowledge to create something new (a circuit), fitting the Apply level as it involves practical application.",3,Higher-Order Thinking,Computer Science & Engineering
Digital Systems and Microcontrollers (DSM),CO-3: Analyze a real-world problem to develop a digital design solution using sequential circuits to solve the problem,Analyze,"The verb 'Analyze' directly indicates breaking down a problem and examining its components, which is the core of the Analyze level.",4,Higher-Order Thinking,Computer Science & Engineering
Digital Systems and Microcontrollers (DSM),CO-4: Describe the working of a basic 8-bit von Neumann architecture processor,Understand,"The verb 'Describe' implies explaining the concepts and functionality of the processor, which aligns with the Understand level.",2,Lower-Order Thinking,Computer Science & Engineering
Digital Systems and Microcontrollers (DSM),"CO-5: Develop skills for simulating circuits using basic components on online simulation tools (example, Tinker CAD)",Apply,"The verb 'Develop' suggests gaining proficiency in using tools (simulation tools) to perform a task (simulating circuits), which is characteristic of the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Digital Systems and Microcontrollers (DSM),"CO-6: Design, implement and test a given logic circuit using basic electronic components such as bread boards, ICs etc",Apply,"The verbs 'Design', 'Implement', and 'Test' all involve using knowledge to create and validate a physical circuit, fitting the Apply level.",3,Higher-Order Thinking,Computer Science & Engineering
Digital VLSI Design,"CO-1: Understand the background that drive to the development of state-of-the-art VLSI digital circuits, the importance of low power, high-performance and power-delay optimal designs, state of the art design issues in digital circuits, understand the CMOS digital IC design process",Understand,"The LO uses the verb 'Understand' multiple times, indicating a focus on explaining and interpreting concepts related to VLSI design.",2,Lower-Order Thinking,Computer Science & Engineering
Digital VLSI Design,"CO-2: Design and Synthesis of Verilog/VHDL codes, test benches to meet specifications, to synthesize Verilog/VHDL onto hardware using required EDA tools",Apply,The verbs 'Design' and 'Synthesis' suggest using procedures and concepts (Verilog/VHDL) to create something new (codes and test benches).,3,Higher-Order Thinking,Computer Science & Engineering
Digital VLSI Design,"CO-3: design and analyze CMOS circuits using both analytically and SPICE tools, derive analytical circuit equations to estimate performances (e.g., power) of a VLSI design",Analyze,The verbs 'analyze' and 'derive' indicate breaking down circuits into parts and finding relationships between circuit parameters and performance.,4,Higher-Order Thinking,Computer Science & Engineering
Digital VLSI Design,CO-4: Analyze the design flow to design complex CMOS digital circuit using required CAD tools. Create a cell library to be used in other designs,Create,The verb 'Create' indicates generating a new product (cell library) by combining elements of the design process.,6,Higher-Order Thinking,Computer Science & Engineering
Digital VLSI Design,"CO-5: Create a low-power digital design, estimate static and dynamic power dissipation in CMOS circuits. Impact of CMOS technology scaling",Create,The verb 'Create' indicates generating a new product (low-power digital design).,6,Higher-Order Thinking,Computer Science & Engineering
Digital VLSI Design,"CO-6: Design of high-performance circuits, and power-delay optimal designs",Apply,The verb 'Design' suggests using procedures and concepts to create circuits with specific performance characteristics.,3,Higher-Order Thinking,Computer Science & Engineering
Discrete Structures,"CO-1: Demonstrate critical thinking, analytical reasoning, and problem-solving skills",Apply,"The verb 'Demonstrate' suggests using learned skills in a practical context, aligning with the 'Apply' level of Bloom's Taxonomy.",3,Higher-Order Thinking,Other
Discrete Structures,CO-2: Apply appropriate mathematical and probabilistic concepts and operations to interpret data and to solve problems,Apply,"The verb 'Apply' directly indicates using concepts and operations in new situations to solve problems, fitting the 'Apply' level.",3,Higher-Order Thinking,Other
Discrete Structures,CO-3: Identify a problem and analyze it in terms of its significant parts and the information needed to solve it,Analyze,"The verb 'analyze' explicitly indicates breaking down a problem into its components, which is the core of the 'Analyze' level.",4,Higher-Order Thinking,Other
Discrete Structures,"CO-4: Formulate and evaluate possible solutions to problems, and select and defend the chosen solutions",Evaluate,"The verbs 'evaluate' and 'defend' suggest making judgments and justifying decisions, aligning with the 'Evaluate' level.",5,Higher-Order Thinking,Other
Discrete Structures,"CO-5: Construct graphs and charts, interpret them, and draw appropriate conclusions",Apply,"The verbs 'construct' and 'interpret' suggest using learned skills to create and understand visual representations, fitting the 'Apply' level.",3,Higher-Order Thinking,Other
Discrete Structures,"CO-6: Apply the concepts of group theory, ring and field in various applications in computer science",Apply,"The verb 'Apply' directly indicates using concepts in new contexts (computer science applications), aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Distributed Systems,"CO-1: Explain the challenges faced by distributed systems in terms of lack of global time, synchrony, faults, programming support, etc",Understand,"The verb 'Explain' indicates a need to demonstrate comprehension of the challenges, going beyond simple recall.",2,Lower-Order Thinking,Other
Distributed Systems,CO-2: Employ standard distributed programming frameworks to write distributed programs for problem solving,Apply,The verb 'Employ' and 'write' suggest using learned frameworks in a practical context to solve problems.,3,Higher-Order Thinking,Other
Distributed Systems,CO-3: Explain the properties and design principles of various real-world and practical distributed systems,Understand,The verb 'Explain' indicates a need to demonstrate comprehension of properties and principles.,2,Lower-Order Thinking,Other
Distributed Systems,"CO-4: Interpret the impact of faults in distributed systems in the context of important problems such as distributed agreement, distributed consensus, and distributed transaction processing",Understand,The verb 'Interpret' requires understanding the relationship between faults and their impact on specific problems.,2,Lower-Order Thinking,Other
Distributed Systems,"CO-5: Analyze distributed algorithms for graphs with respect to correctness, round complexity, and message complexity",Analyze,"The verb 'Analyze' requires breaking down algorithms and evaluating them based on specific criteria (correctness, complexity).",4,Higher-Order Thinking,Other
Distributed Systems,CO-6: Analyze the limitations of distributed systems and assess the operational scope of large-scale distributed systems,Evaluate,The verbs 'Analyze' and 'assess' require making judgments about limitations and scope based on understanding.,5,Higher-Order Thinking,Other
Earthquake Resistant Design of Masonry Structures,CO 1: Understand the seismic vulnerability of existing masonry structures against seismic forces,Understand,The verb 'Understand' directly indicates comprehension and grasping the concept of seismic vulnerability.,2,Lower-Order Thinking,Design & Innovation
Earthquake Resistant Design of Masonry Structures,CO 2: Acquainted with principles of earthquake resistant design of masonry structures,Remember,"The verb 'Acquainted' implies recalling and recognizing the principles, fitting the 'Remember' level.",1,Lower-Order Thinking,Design & Innovation
Earthquake Resistant Design of Masonry Structures,"CO 3: Understand the failure modes and complete behavior of masonry under different actions like compression, tension, shear, and bending",Understand,The verb 'Understand' indicates a need to comprehend the failure modes and behavior of masonry.,2,Lower-Order Thinking,Design & Innovation
Earthquake Resistant Design of Masonry Structures,CO 4: Analyze the seismic safety of masonry buildings and suggest the retrofit measures using codal provisions,Analyze,The verb 'Analyze' directly indicates the need to break down and examine the seismic safety of buildings.,4,Higher-Order Thinking,Design & Innovation
Earthquake Resistant Design of Masonry Structures,CO 5: Design the strengthened masonry components of a building using different techniques,Create,"The verb 'Design' implies generating a new plan or product, aligning with the 'Create' level.",6,Higher-Order Thinking,Design & Innovation
Electronic Workshop-1,"CO1: Familiarization and demonstration of skill in handling electronic equipment and components such as Power Supplies, Signal Generator, CRO, breadboards, soldering iron, passive components and active devices",Apply,"The LO uses the verb 'handling' and 'demonstration of skill', implying the use of learned knowledge in a practical setting.",3,Higher-Order Thinking,Electronics & Communication
Electronic Workshop-1,"CO2: Design and implementation of electronic circuits that involve analog and digital components, on breadboard and further observing, recording, analyzing and interpreting the results therein",Analyze,"The verbs 'observing, recording, analyzing, and interpreting' indicate a breakdown of information and understanding relationships between data.",4,Higher-Order Thinking,Electronics & Communication
Electronic Workshop-1,"CO3: Demonstration of psycho-motor skills in the form of connecting components on a breadboard, wiring, soldering circuits, and understanding of electronic hazards",Apply,"The LO focuses on 'demonstration of skills' like connecting, wiring, and soldering, which are practical applications of knowledge.",3,Higher-Order Thinking,Electronics & Communication
Electronic Workshop-1,"CO4: Understanding and demonstration of tool usage in the form of multi-Sim/LTSpice for simulation, verification and analysis of circuits",Apply,"The LO uses 'demonstration of tool usage' and 'simulation, verification, and analysis', indicating the practical application of tools.",3,Higher-Order Thinking,Electronics & Communication
Electronic Workshop-1,CO5: Understanding the role of software hardware interface in the form of software implementation on controller boards and their interface to electronic circuits. Demonstrate proficiency on the same,Apply,"The LO uses 'software implementation' and 'demonstrate proficiency', indicating the practical application of understanding.",3,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,CO-1: Develop and implement an IoT-based solution for a real-life problem,Create,The verbs 'develop' and 'implement' indicate the creation of something new – an IoT solution – going beyond simply applying existing knowledge.,6,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,CO-2: Assess system designs from IoT application point of view,Evaluate,The verb 'assess' directly implies making judgments about the value or quality of system designs based on specific criteria.,5,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,"CO-3: Explain the working on microcontrollers, peripherals and its programming",Understand,"The verb 'explain' requires demonstrating comprehension of how microcontrollers, peripherals, and programming function.",2,Lower-Order Thinking,Electronics & Communication
Embedded Systems Workshop,CO-4: Compare and select the sensors and actuators based on the system requirement,Analyze,The verbs 'compare' and 'select' require breaking down information about sensors and actuators and making a reasoned choice based on criteria.,4,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,CO-5: Compare different communication protocols for use in IoT systems,Analyze,The verb 'compare' requires breaking down the characteristics of different communication protocols to identify similarities and differences.,4,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,"CO-6: Employ techniques pertaining to the security, privacy and inoperability of IoT data",Apply,The verb 'employ' indicates using known techniques in a practical context – securing IoT data.,3,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,CO-7: Examine various available solutions for data storage and cloud computing,Analyze,"The verb 'examine' suggests a detailed investigation and breakdown of different solutions, looking for their components and relationships.",4,Higher-Order Thinking,Electronics & Communication
Embedded Systems Workshop,CO-8: Design and fabricate a functional PCB and mechanical enclosure for their IoT project,Create,The verbs 'design' and 'fabricate' indicate the creation of a new physical artifact – a PCB and enclosure.,6,Higher-Order Thinking,Electronics & Communication
Entropy and Information,"CO-1: Explain the basic concepts of Entropy, Joint Entropy Conditional Entropy, Relative Entropy and Mutual Information, Chain Rules, Differential Entropy, Maximal Entropy, Probability as a measure, Data Compression, Entropy Rates, Markov Chain, Entropy Rate, Random Walk, Data Compression and Channels",Understand,"The verb 'Explain' indicates an understanding of concepts and the ability to convey that understanding, fitting the 'Understand' level.",2,Lower-Order Thinking,Other
Entropy and Information,"CO-2: Demonstrate familiarity with process of constructing codes/optimal codes, carrying out data compression, finding out the channel capacity of the channel",Apply,"The verb 'Demonstrate' implies the ability to use knowledge in a practical way, specifically applying processes like constructing codes and data compression, aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Entropy and Information,"CO-3: Synthesize proofs of theorems The Uniqueness Theorem, Fundamental Theorem, Maximum Entropy Principle, using clear mathematical and logical arguments",Create,"The verb 'Synthesize' indicates the creation of something new – in this case, proofs – by combining elements and knowledge, which is characteristic of the 'Create' level.",6,Higher-Order Thinking,Other
Entropy and Information,"CO-4: Apply the concepts like source coding, channel capacity to real world problems in Communication Theory",Apply,The verb 'Apply' directly indicates the use of learned concepts in new situations – real-world problems – which is the core of the 'Apply' level.,3,Higher-Order Thinking,Other
Entropy and Information,CO-5: Create communication models using principles of Information Theory and analyze them,Create,"The verb 'Create' signifies the generation of new models, and 'analyze' builds upon that creation, fitting the highest level of Bloom's Taxonomy.",6,Higher-Order Thinking,Other
Environmental Science and Technology,CO-1: Understand various environmental issues of concern,Understand,"The verb 'Understand' directly aligns with the 'Understand' level of Bloom's Taxonomy, focusing on explaining concepts.",2,Lower-Order Thinking,Other
Environmental Science and Technology,CO-2: Identify various driving factors of environmental degradation,Understand,"'Identify' requires recognizing and recalling information, but also implies a level of comprehension to categorize driving factors.",2,Lower-Order Thinking,Other
Environmental Science and Technology,CO-3: Evaluate different environmental technologies,Evaluate,"The verb 'Evaluate' explicitly requires making judgments based on criteria, which is the core of the 'Evaluate' level.",5,Higher-Order Thinking,Other
Environmental Science and Technology,CO-4: Integrate IT in designing solutions to combat environmental problems,Apply,"The verb 'Integrate' and 'designing' suggest using IT knowledge in a practical context to solve problems, aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Environmental Science and Technology,CO-5: Comprehend green accounting and evaluation methods for ecosystem goods and services,Understand,"'Comprehend' directly corresponds to the 'Understand' level, focusing on grasping the meaning of concepts.",2,Lower-Order Thinking,Other
Environmental Science and Technology,CO-6: Develop sense of environmental ethics and environmental legislation,Understand,"While 'Develop' suggests growth, the object is a 'sense' of ethics and legislation, implying comprehension and awareness.",2,Lower-Order Thinking,Other
"Fairness, Privacy and Ethics in Al",CO-1: Understand sources of unfairness in Al systems,Understand,"The verb 'Understand' directly indicates comprehending and explaining concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Humanities & Social Sciences
"Fairness, Privacy and Ethics in Al",CO-2: Demonstrate familiarity with different notions of individual fairness as well as group fairness,Understand,"'Demonstrate familiarity' implies a level of comprehension and the ability to explain concepts, fitting the 'Understand' level.",2,Lower-Order Thinking,Humanities & Social Sciences
"Fairness, Privacy and Ethics in Al","CO-3: Synthesize algorithms designed to ensure individual fairness such as envy-free ness, proportionality, max-min share etc. and apprehend the complexities involved in ensuring",Create,"The verb 'Synthesize' indicates the creation of something new (algorithms), which is the highest level of Bloom's Taxonomy.",6,Higher-Order Thinking,Humanities & Social Sciences
"Fairness, Privacy and Ethics in Al","CO-4: Create algorithms methods to mitigate discrimination based on sensitive attributes such gender/race/age etc. (group fairness) for fairness measures such as disparate impact, equalized odds, accuracy equity, predictive parity etc",Create,"The verb 'Create' directly indicates generating new algorithms, aligning with the 'Create' level of Bloom's Taxonomy.",6,Higher-Order Thinking,Humanities & Social Sciences
"Fairness, Privacy and Ethics in Al",CO-5: Explain the attacks on the machine learning models and databases to interpret the data,Understand,"The verb 'Explain' indicates comprehension and the ability to articulate concepts, fitting the 'Understand' level.",2,Lower-Order Thinking,Humanities & Social Sciences
"Fairness, Privacy and Ethics in Al",CO-6: Apply different techniques using differential privacy to ensure privacy of individuals leading to transparency in the system,Apply,"The verb 'Apply' indicates using techniques in a practical context, aligning with the 'Apply' level of Bloom's Taxonomy.",3,Higher-Order Thinking,Humanities & Social Sciences
Finite Element Method,CO1: Develop a comprehensive understanding of finite element principles,Understand,"The verb 'develop understanding' implies interpreting and explaining concepts, which aligns with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Finite Element Method,CO2: Formulate and solve boundary value problems using approximate methods and finite element techniques,Apply,"The verbs 'formulate' and 'solve' indicate using procedures and techniques in a practical context, fitting the 'Apply' level.",3,Higher-Order Thinking,Other
Finite Element Method,CO3: Analyze structural components using the finite element method,Analyze,"The verb 'analyze' directly corresponds to breaking down and examining components, which is the core of the 'Analyze' level.",4,Higher-Order Thinking,Other
Finite Element Method,CO4: Apply advanced finite element method to elasticity problems,Apply,"The verb 'apply' indicates using a method to solve problems, aligning with the 'Apply' level of Bloom's Taxonomy.",3,Higher-Order Thinking,Other
Finite Element Method,CO5: Apply numerical integration to identify the solution of boundary value problems,Apply,"The verb 'apply' suggests using a procedure to find a solution, which is characteristic of the 'Apply' level.",3,Higher-Order Thinking,Other
Foundations for Signal Processing and Communication,CO1: build strong foundation in the fundamental mathematical concepts used for the design of digital communication systems,Apply,"The verb 'build' suggests using knowledge (mathematical concepts) to construct something (a foundation), indicating application of learned principles.",3,Higher-Order Thinking,Electronics & Communication
Foundations for Signal Processing and Communication,CO2: be able to apply mathematical tools to analyze and solve complex problems related to signal processing,Apply,"The verb 'apply' and 'solve' directly indicate using learned tools and methods in new situations, fitting the Apply level.",3,Higher-Order Thinking,Electronics & Communication
Foundations for Signal Processing and Communication,CO3: be equipped with basic models/modules to conduct research in the field of communication and signal processing,Understand,"The verb 'be equipped' implies gaining familiarity and comprehension of models/modules, which aligns with understanding concepts.",2,Lower-Order Thinking,Electronics & Communication
Foundations for Signal Processing and Communication,CO4: develop critical thinking and problem-solving skills to address practical problems in communication systems and signal processing,Create,"The verb 'develop' suggests generating new skills (critical thinking and problem-solving) and applying them, which falls into the Create level.",6,Higher-Order Thinking,Electronics & Communication
Gender and Society,CO-1: Introduce students to basic concepts in gender theory and Feminist practice,Understand,"The verb 'Introduce' implies explaining and conveying understanding of concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Humanities & Social Sciences
Gender and Society,"CO-2: Help students question their prior opinions and think in more informed ways about the nature of gender relations, individual roles, and socio-cultural formations",Analyze,"The verbs 'question' and 'think' suggest breaking down existing beliefs and examining relationships between concepts, which falls under the 'Analyze' level.",4,Higher-Order Thinking,Humanities & Social Sciences
Gender and Society,"CO-3: Literature shall be taught to demonstrate the various ways in which culture establishes, represents and perpetuates",Understand,"The verb 'demonstrate' implies explaining how culture functions, which aligns with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Humanities & Social Sciences
Gender and Society,"CO-4: Film shall used to demonstrate the various ways in which popular culture establishes, represents and perpetuates",Understand,"Similar to CO-3, 'demonstrate' suggests explaining how popular culture functions, aligning with the 'Understand' level.",2,Lower-Order Thinking,Humanities & Social Sciences
Gender and Society,CO-5: Examples of Literature and film shall be used to discuss how culture can disrupt generic roles,Analyze,"The verb 'discuss' implies examining and breaking down how culture challenges established roles, aligning with the 'Analyze' level.",4,Higher-Order Thinking,Humanities & Social Sciences
Geospatial Technology for Disaster Risk Modelling,CO-1: Basic understanding on how geospatial technology helps in decision support for major disasters,Understand,"The verb 'understanding' directly aligns with the 'Understand' level of Bloom's Taxonomy, focusing on explaining concepts.",2,Lower-Order Thinking,Other
Geospatial Technology for Disaster Risk Modelling,"CO-2: Exposure to(a) retrieving space-based parameters/proxies for decision support, (b) real time mapping and (c) modeling of different disasters",Apply,"The verb 'retrieving', 'mapping', and 'modeling' suggest applying knowledge to practical tasks, fitting the 'Apply' level.",3,Higher-Order Thinking,Other
Geospatial Technology for Disaster Risk Modelling,"CO-3: Handling, interpretation and processing of analysis-ready remotely sensed data",Apply,"The verbs 'handling', 'interpretation', and 'processing' indicate the application of skills and knowledge to data, aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Geospatial Technology for Disaster Risk Modelling,CO-4: Exposure to existing models of decision support and early warning system for major disasters,Understand,"'Exposure to' implies gaining familiarity and comprehension of existing models, which falls under the 'Understand' level.",2,Lower-Order Thinking,Other
Geospatial Technology for Disaster Risk Modelling,CO-5: Identify potential areas of Al/ML applications in early warning system of major disasters,Analyze,"The verb 'Identify' requires breaking down the problem of early warning systems and recognizing potential applications, aligning with the 'Analyze' level.",4,Higher-Order Thinking,Other
Human-Computer Interaction,"CO-1: Demonstrate good understanding of Human-Computer Interaction and How it influences the User Experience of digital products, systems, solutions and services",Understand,"The verb 'Demonstrate understanding' implies explaining and interpreting concepts related to HCI and UX, fitting the 'Understand' level.",2,Lower-Order Thinking,Computer Science & Engineering
Human-Computer Interaction,"CO-2: Demonstrate good understanding of methods and tools used to understand the HCI from the perspectives of technology, human-centered design and human/social sciences such as cognitive, and digital anthropology perspective",Understand,"Similar to CO-1, 'Demonstrate understanding' focuses on explaining and interpreting methods and tools, aligning with the 'Understand' level.",2,Lower-Order Thinking,Computer Science & Engineering
Human-Computer Interaction,"CO-3: Demonstrate good understanding of incorporating human-centered approach in HCI to deliver useful and easy to use soRware and IT products including Mobility, Healthcare, Learning, E-commerce and Utility etc",Understand,"The LO centers on 'Demonstrate understanding' of incorporating a human-centered approach, which requires explaining and interpreting concepts.",2,Lower-Order Thinking,Computer Science & Engineering
Human-Computer Interaction,"CO-4: Demonstrate the ability to create, document and present the various deliverables and communications related to HCI, UX and UI Design including Human-Action Cycle, Personas, Use Cases, Task Flow and Analysis, Information Architecture diagram, Wireframes, UI Design, and Usability Testing etc",Apply,"The verbs 'create', 'document', and 'present' indicate using knowledge and skills to produce tangible deliverables, fitting the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Human-Computer Interaction,"CO-5: Demonstrate the ability to plan and execute usability testing including creating test cases, usability matrix, performs testing, record test data and analysethesametoiden? Fyusability issues and report the same for updating the design",Apply,"The verbs 'plan', 'execute', 'create', 'record', and 'analyze' all involve using procedures and skills in a practical context, aligning with the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Human Sciences Lab,CO-1: Students will get an introduction to computational tools which can be used in social science research,Understand,"The verb 'get an introduction' implies understanding basic concepts related to computational tools, rather than simply remembering them or applying them.",2,Lower-Order Thinking,Other
Human Sciences Lab,"CO-2: Students will start using social theory to read, analyze and interpret various kinds of data",Analyze,"The verbs 'analyze' and 'interpret' directly indicate a breakdown of information and deriving meaning, which falls under the Analyze level.",4,Higher-Order Thinking,Other
Human Sciences Lab,"CO-3: Students will be exposed to the potential of computational humanities and social sciences. They will identify not just the potential, but equally the limitations of computational methods in the social sciences",Analyze,"The verb 'identify' suggests breaking down the concepts of computational methods to recognize both their strengths and weaknesses, aligning with the Analyze level.",4,Higher-Order Thinking,Other
Hydrological Modeling and Software Development,CO-1: Develop awareness about various water and climate change related problems and help to provide best possible optimal solutions for better management of water resources,Understand,"The verb 'develop awareness' and 'help to provide' suggest comprehension and understanding of problems and solutions, rather than higher-order thinking skills.",2,Lower-Order Thinking,Computer Science & Engineering
Hydrological Modeling and Software Development,CO-2: Integrate hydrological models with computational techniques,Apply,"The verb 'integrate' implies using existing models and techniques in a new context, which aligns with the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Hydrological Modeling and Software Development,CO-3: Employ computer science skills in developing hydrological modelling and water management tools,Apply,"The verb 'employ' suggests using learned computer science skills to create tools, fitting the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Hydrological Modeling and Software Development,"CO-4: Design and develop open-source tools for mapping, analyzing and predicting hydrological processes",Create,"The verbs 'design' and 'develop' indicate the creation of new tools, which is characteristic of the 'Create' level.",6,Higher-Order Thinking,Computer Science & Engineering
Hydrological Modeling and Software Development,CO-5: Develop critical thinking to help in solving real-time water related issues using computational algorithms and technologies,Analyze,"The phrase 'develop critical thinking' and 'solving issues' suggests breaking down problems and finding solutions, aligning with the 'Analyze' level.",4,Higher-Order Thinking,Computer Science & Engineering
Hydrological Modeling and Software Development,CO-6: To improve the problem-solving skills for solving water resources management problems,Apply,"The phrase 'solving problems' suggests applying existing skills to new situations, which aligns with the 'Apply' level.",3,Higher-Order Thinking,Computer Science & Engineering
Information Retrieval and Extraction,CO-1: Develop algorithms to retrieve information from unstructured data,Apply,"The verb 'Develop' implies using knowledge to create something new, which aligns with applying concepts to a specific task.",3,Higher-Order Thinking,Other
Information Retrieval and Extraction,CO-2: Design and architect information retrieval systems for worldwide web,Create,"The verbs 'Design' and 'architect' suggest generating a new system, which falls under the 'Create' level of Bloom's Taxonomy.",6,Higher-Order Thinking,Other
